Question,Ground truth,context
What are the ecological roles of parrotfishes in tropical reef ecosystems?,"The ecological roles of parrotfishes on tropical reefs include grazing, which has functional implications for the ecosystem. They play a significant role in maintaining the health of coral reefs by controlling algal growth and contributing to the bioerosion and sediment production processes.","Programme and GRID, Nairobi, 98p
Bejarano I, Appeldoorn RS, Nemeth M (2014) Fishes associated with 
mesophotic coral ecosystems in La Parguera, Puerto Rico. Coral 
Reefs 33(2):313–328
Bellwood DR, Choat JH (1990) A functional analysis of grazing in par-
rotfishes (family Scaridae): the ecological implications. Environ 
Biol Fish 28(1–4):189–214
Bonaldo RM, Hoey AS, Bellwood DR (2014) The ecosystem roles of 
parrotfishes on tropical reefs. In: Hughes RN, Hughes DJ, Smith IP 
(eds) Oceanography and marine biology: an annual review. CRC 
Press, Boca Raton, pp 81–132
Bongaerts P, Ridgway T, Sampayo EM et al (2010) Assessing the ‘Deep 
Reef Refugia’ hypothesis: focus on Caribbean reefs. Coral Reefs 
29(2):309–327
Bosscher H, Schlager W (1992) Computer simulation of reef growth. 
Sedimentology 39(3):503–512
Bouchon-Navaro Y , Harmelin-Vivien ML (1981) Quantitative distribu-
tion of herbivorous reef fishes in the Gulf of Aqaba (Red Sea). Mar 
Biol 63(1):79–86"
What are the implications of seasonal and diel movements of fish species for the design of Marine Protected Areas?,The implications of seasonal and diel movements of fish species for the design of Marine Protected Areas include the need to consider these movements to effectively protect the species. Understanding the patterns of movement can inform the placement and management of these areas to ensure that critical habitats are preserved and that fish populations are supported throughout their life cycles.,"In (J.J. Polovina and S. Ralston, eds.), Tropical Snappers and Groupers: Biology and Fisheries Management. Westview 
Press, Boulder and London. 
Leis, J.M. 1993. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pp. 183-23. In: (PF Sale, ed), The 
Ecology of Fishes on Coral Reefs. Academic Press, San Diego. 
Maragos, J.E. and P.L. Jokiel. 1986. Reef corals of Johnston Atoll: one of the world’s most isolated reefs. Coral Reefs 4: 
141-150. 
Meyer, C.G., K.N. Holland, and Y.P. Papastamatiou. 2007b. Seasonal and diel movements of giant trevally (Caranx igno-
bilis) at remote Hawaiian atolls: implications for the design of Marine Protected Areas. Marine Ecology Progress Series. 
333: 13-25. 
Meyer, C.G., Y.P. Papastamatiou, and K.N. Holland. 2007a. Seasonal, diel and tidal movements of green jobﬁ sh (Aprion
virescens, Lutjanidae) at remote Hawaiian atolls: Implications for Marine Protected Area design. Marine Biology. 151: 
2133-2143."
What trends have been observed in the destructiveness of cyclones over the past 30 years?,"The destructiveness of cyclones has increased over the past 30 years, with hurricanes in the Category 4 and 5 range nearly doubling since the 1970s.","Management Concerns and Responsibilities
 
 
 
  
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
Storm Intensity and Frequency 
Global weather patterns appear to be changing and climatologists suggest that the increasing intensity and 
frequency of storms may be related to modern, anthropogenic inﬂuences (IPCC, 2001; Nott, 2003; Nott, 2004; 
Nott et al., 2007). Studies into storm trends have shown that while SSTs have been rising, the intensity of the 
storms occurring in this time period has increased (Hoegh-Guldberg, 1999; IPCC, 2001; Hughes, 2003; Web­
ster et al., 2005; IPCC, 2007; NOAA Satellite and Information Service, 2007). While sheer numbers of tropical 
storms have remained relatively constant, the destructiveness of the cyclones has increased over the past 30 
years and hurricanes in the Category 4 and 5 range have nearly doubled since the 1970s (Emanuel, 2005;"
What are the primary threats to the breeding populations of albatrosses in the NWHI?,"The primary threats to the breeding populations of albatrosses in the NWHI are ingestion of plastics, loss of forage base, and other large-scale issues.","million breeding annually) representing 
22 species (Friedlander et al., 2005; 
USFWS, 2005). More than 95% of the 
world’s Laysan albatross (Phoebas-
tria immutabilis; Figure 1.8) and Black-
footed albatross (P. nigripes) nest in the 
NWHI (USFWS, 2005). For several oth­
er species such as Bonin Petrel (Ptero-
droma hypoleuca ), Christmas Shear­
water (Pufﬁ nus nativitatis), Tristram’s 
Storm-petrel (Oceanoframa tristrami ) 
and Grey-backed Tern ( Sterna lunata), 
the NWHI supports colonies of global 
signiﬁcance. The last complete inven­
tory of NWHI breeding populations was 
done between 1979 and 1984 (Fefer et 
al., 1984). Population trends since then have been derived from more intensive monitoring at three islands 
and are stable or increasing for most species at these locations but there is concern for a few, especially the 
albatross due to ingestion of plastics, loss of forage base and other large-scale issues (USFWS, 2005). 
Protected Species
Hawaiian Monk Seal"
How does the NWHI contribute to global biodiversity among seabird species?,"The NWHI contributes to global biodiversity among seabird species by supporting more than 95% of the world's Laysan albatross and Black-footed albatross, as well as colonies of global significance for several other species such as Bonin Petrel, Christmas Shearwater, Tristram’s Storm-petrel, and Grey-backed Tern.","million breeding annually) representing 
22 species (Friedlander et al., 2005; 
USFWS, 2005). More than 95% of the 
world’s Laysan albatross (Phoebas-
tria immutabilis; Figure 1.8) and Black-
footed albatross (P. nigripes) nest in the 
NWHI (USFWS, 2005). For several oth­
er species such as Bonin Petrel (Ptero-
droma hypoleuca ), Christmas Shear­
water (Pufﬁ nus nativitatis), Tristram’s 
Storm-petrel (Oceanoframa tristrami ) 
and Grey-backed Tern ( Sterna lunata), 
the NWHI supports colonies of global 
signiﬁcance. The last complete inven­
tory of NWHI breeding populations was 
done between 1979 and 1984 (Fefer et 
al., 1984). Population trends since then have been derived from more intensive monitoring at three islands 
and are stable or increasing for most species at these locations but there is concern for a few, especially the 
albatross due to ingestion of plastics, loss of forage base and other large-scale issues (USFWS, 2005). 
Protected Species
Hawaiian Monk Seal"
What methods have been used to monitor population trends of seabirds in the NWHI since the last complete inventory?,More intensive monitoring at three islands has been used to derive population trends of seabirds in the NWHI since the last complete inventory.,"million breeding annually) representing 
22 species (Friedlander et al., 2005; 
USFWS, 2005). More than 95% of the 
world’s Laysan albatross (Phoebas-
tria immutabilis; Figure 1.8) and Black-
footed albatross (P. nigripes) nest in the 
NWHI (USFWS, 2005). For several oth­
er species such as Bonin Petrel (Ptero-
droma hypoleuca ), Christmas Shear­
water (Pufﬁ nus nativitatis), Tristram’s 
Storm-petrel (Oceanoframa tristrami ) 
and Grey-backed Tern ( Sterna lunata), 
the NWHI supports colonies of global 
signiﬁcance. The last complete inven­
tory of NWHI breeding populations was 
done between 1979 and 1984 (Fefer et 
al., 1984). Population trends since then have been derived from more intensive monitoring at three islands 
and are stable or increasing for most species at these locations but there is concern for a few, especially the 
albatross due to ingestion of plastics, loss of forage base and other large-scale issues (USFWS, 2005). 
Protected Species
Hawaiian Monk Seal"
How did the POBSP contribute to our understanding of seabird populations in the Pacific?,"The POBSP contributed to our understanding of seabird populations in the Pacific by providing a general baseline for five species of seabirds that breed on various islands and atolls within the NWHI. The program included at-sea bird observations, breeding population counts, and banding, which helped gather data on species such as Laysan and Black-footed Albatrosses, Wedge-tailed Shearwaters, Red-tailed Tropicbirds, and Sooty Terns. However, the documentation of breeding population size data was not well detailed, leaving some uncertainty about whether the population estimates referred to the total number of individuals or just the number of breeding individuals.","differed across these locations. 
Paciﬁc Ocean Biological Survey Program 
The POBSP was conducted throughout the Paciﬁc by the Smithsonian Institution from 1963-1970. The Smith­
sonian’s surveys included at-sea bird observations, as well as breeding population counts and banding on 
islands and atolls within the NWHI from 1963-1968 (King, 1974). The resulting data provide a general baseline 
for ﬁve species of seabirds that breed on Nihoa, Mokumanamana, French Frigate Shoals, Lisianski, Laysan, 
Pearl and Hermes Atoll, Midway Atoll and Kure Atoll, including Laysan and Black-footed Albatrosses, Wedge-
tailed Shearwaters, Red-tailed Tropicbirds and Sooty Terns (Table 7.4). Because the POBSP breeding popu­
lation size data presented in King (1974) were not well documented in terms of the types and timing of the 
counts, it is not entirely clear if population estimates were total number of individuals or number of breeding"
What challenges are associated with interpreting the population size data collected during the POBSP?,"The challenges associated with interpreting the population size data collected during the POBSP include the lack of well-documented information regarding the types and timing of the counts, which makes it unclear whether the population estimates represent the total number of individuals or just the number of breeding individuals.","differed across these locations. 
Paciﬁc Ocean Biological Survey Program 
The POBSP was conducted throughout the Paciﬁc by the Smithsonian Institution from 1963-1970. The Smith­
sonian’s surveys included at-sea bird observations, as well as breeding population counts and banding on 
islands and atolls within the NWHI from 1963-1968 (King, 1974). The resulting data provide a general baseline 
for ﬁve species of seabirds that breed on Nihoa, Mokumanamana, French Frigate Shoals, Lisianski, Laysan, 
Pearl and Hermes Atoll, Midway Atoll and Kure Atoll, including Laysan and Black-footed Albatrosses, Wedge-
tailed Shearwaters, Red-tailed Tropicbirds and Sooty Terns (Table 7.4). Because the POBSP breeding popu­
lation size data presented in King (1974) were not well documented in terms of the types and timing of the 
counts, it is not entirely clear if population estimates were total number of individuals or number of breeding"
What statistical methods were used to analyze genetic diversity in the populations studied?,"Analyses of molecular variance (AMOVA) were performed using 20,000 permutations, and haplotype richness was estimated using rarefaction analysis. Wright’s FST was calculated to detect significant haplotype frequency shifts.","Analyses of molecular variance (AMOVA) were performed in
ARLEQUIN using 20,000 permutations. Wright’s FST was calculated
to detect significant haplotype frequency shifts and was not used to
measure conventional population structure or to make estimates of
migration. To compare genetic diversity in the introduced and
source populations, while controlling for unequal sample sizes, we
estimated haplotype richness using rarefaction analysis (ANALYTIC
RAREFACTATION 1.4; UGA Stratigraphy Lab website; http://www.
uga.edu/,strata/software/).
Differences between the proportion of infected fish (prevalence)
in Hawai’i versus in French Polynesia were tested using a chi-
Table 1.Summary statistics for spirocamallanids collected
from three host species.
N
Prevalence
(%) Intensity Range
Lutjanus kasmira
French Polynesia
Marquesas Islands (MI) 72 52.7 4.0 60.4 1–12
Society Islands (SI) 231 29.0 1.7 60.1 1–8
All French Polynesia 303 34.7 2.6 60.2 1–12
Hawai’i
Hawai’i Island (HI) 28 78.6 3.3 60.4 1–9"
How does the prevalence of infection in fish populations differ between Hawai’i and French Polynesia?,"The prevalence of infection in fish populations is higher in Hawai’i at 78.6% compared to French Polynesia, which has an overall prevalence of 34.7%.","Analyses of molecular variance (AMOVA) were performed in
ARLEQUIN using 20,000 permutations. Wright’s FST was calculated
to detect significant haplotype frequency shifts and was not used to
measure conventional population structure or to make estimates of
migration. To compare genetic diversity in the introduced and
source populations, while controlling for unequal sample sizes, we
estimated haplotype richness using rarefaction analysis (ANALYTIC
RAREFACTATION 1.4; UGA Stratigraphy Lab website; http://www.
uga.edu/,strata/software/).
Differences between the proportion of infected fish (prevalence)
in Hawai’i versus in French Polynesia were tested using a chi-
Table 1.Summary statistics for spirocamallanids collected
from three host species.
N
Prevalence
(%) Intensity Range
Lutjanus kasmira
French Polynesia
Marquesas Islands (MI) 72 52.7 4.0 60.4 1–12
Society Islands (SI) 231 29.0 1.7 60.1 1–8
All French Polynesia 303 34.7 2.6 60.2 1–12
Hawai’i
Hawai’i Island (HI) 28 78.6 3.3 60.4 1–9"
